Current Time,City,State,Country,Temperature,Feels Like,Humidity,Precipitation,Pressure,Wind Speed,Wind Direction,Visibility,Sunrise,Sunset
08-06-25 02:37:24,Nashville,,US,76.5,77.3,74,0.0,1022.0,3.18,228,10000,06:57 AM,08:48 PM
08-06-25 02:37:24,Nashville,,US,76.5,77.3,74,0.0,1022.0,3.18,228,10000,06:57 AM,08:48 PM
08-06-25 02:37:24,Nashville,,US,76.5,77.3,74,0.0,1022.0,3.18,228,10000,06:57 AM,08:48 PM
08-06-25 02:37:24,Nashville,,US,76.5,77.3,74,0.0,1022.0,3.18,228,10000,06:57 AM,08:48 PM
08-06-25 02:36:54,Tokyo,,JP,36.8,43.8,56,0.0,1003.0,5.14,180,10000,03:52 PM,05:41 AM
08-06-25 02:36:54,Tokyo,,JP,36.8,43.8,56,0.0,1003.0,5.14,180,10000,03:52 PM,05:41 AM
08-06-25 02:36:54,Tokyo,,JP,36.8,43.8,56,0.0,1003.0,5.14,180,10000,03:52 PM,05:41 AM
08-06-25 02:36:54,Tokyo,,JP,36.8,43.8,56,0.0,1003.0,5.14,180,10000,03:52 PM,05:41 AM
08-06-25 02:36:37,Austin,,US,87.7,95.4,62,0.0,1018.0,6.91,100,10000,07:52 AM,09:21 PM
08-06-25 02:36:37,Austin,,US,87.7,95.4,62,0.0,1018.0,6.91,100,10000,07:52 AM,09:21 PM
08-06-25 02:36:37,Austin,,US,87.7,95.4,62,0.0,1018.0,6.91,100,10000,07:52 AM,09:21 PM
08-06-25 02:36:37,Austin,,US,87.7,95.4,62,0.0,1018.0,6.91,100,10000,07:52 AM,09:21 PM
08-06-25 02:35:45,St Louis,,US,75.4,76.5,82,0.0,1022.0,3.44,110,10000,07:06 AM,09:07 PM
08-06-25 02:35:45,St Louis,,US,75.4,76.5,82,0.0,1022.0,3.44,110,10000,07:06 AM,09:07 PM
08-06-25 02:35:45,St Louis,,US,75.4,76.5,82,0.0,1022.0,3.44,110,10000,07:06 AM,09:07 PM
08-06-25 02:35:45,St Louis,,US,75.4,76.5,82,0.0,1022.0,3.44,110,10000,07:06 AM,09:07 PM
08-06-25 02:34:31,Salt Lake City,,US,84.2,81.8,26,0.0,1013.0,3.22,64,10000,08:28 AM,10:38 PM
08-06-25 02:34:31,Salt Lake City,,US,84.2,81.8,26,0.0,1013.0,3.22,64,10000,08:28 AM,10:38 PM
08-06-25 02:34:31,Salt Lake City,,US,84.2,81.8,26,0.0,1013.0,3.22,64,10000,08:28 AM,10:38 PM
08-06-25 02:34:31,Salt Lake City,,US,84.2,81.8,26,0.0,1013.0,3.22,64,10000,08:28 AM,10:38 PM
08-06-25 02:33:00,Knoxville,,US,74.3,75.6,88,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:33:00,Knoxville,,US,74.3,75.6,88,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:33:00,Knoxville,,US,74.3,75.6,88,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:33:00,Knoxville,,US,74.3,75.6,88,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:33:00,Knoxville,,US,74.3,75.6,88,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:33:00,Knoxville,,US,74.3,75.6,88,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:33:00,Knoxville,,US,74.3,75.6,88,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:33:00,Knoxville,,US,74.3,75.6,88,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:33:00,Knoxville,,US,74.3,75.6,88,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:33:00,Knoxville,,US,74.3,75.6,88,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:15:06,Knoxville,,US,74.6,75.8,87,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:15:06,Knoxville,,US,74.6,75.8,87,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:15:06,Knoxville,,US,74.6,75.8,87,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:15:06,Knoxville,,US,74.6,75.8,87,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:15:06,Knoxville,,US,74.6,75.8,87,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:15:06,Knoxville,,US,74.6,75.8,87,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:15:06,Knoxville,,US,74.6,75.8,87,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:15:06,Knoxville,,US,74.6,75.8,87,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:15:06,Knoxville,,US,74.6,75.8,87,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:15:06,Knoxville,,US,74.6,75.8,87,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:15:00,Austin,,US,88.8,96.5,59,0.0,1018.0,7.0,139,10000,07:52 AM,09:21 PM
08-06-25 02:15:00,Austin,,US,88.8,96.5,59,0.0,1018.0,7.0,139,10000,07:52 AM,09:21 PM
08-06-25 02:15:00,Austin,,US,88.8,96.5,59,0.0,1018.0,7.0,139,10000,07:52 AM,09:21 PM
08-06-25 02:15:00,Austin,,US,88.8,96.5,59,0.0,1018.0,7.0,139,10000,07:52 AM,09:21 PM
08-06-25 02:13:55,Salt Lake City,,US,87.1,84.0,23,0.0,1013.0,3.0,9,10000,08:28 AM,10:38 PM
08-06-25 02:13:55,Salt Lake City,,US,87.1,84.0,23,0.0,1013.0,3.0,9,10000,08:28 AM,10:38 PM
08-06-25 02:13:55,Salt Lake City,,US,87.1,84.0,23,0.0,1013.0,3.0,9,10000,08:28 AM,10:38 PM
08-06-25 02:13:55,Salt Lake City,,US,87.1,84.0,23,0.0,1013.0,3.0,9,10000,08:28 AM,10:38 PM
08-06-25 02:13:06,Nashville,,US,77.1,78.0,73,0.0,1022.0,2.8,216,10000,06:57 AM,08:48 PM
08-06-25 02:13:06,Nashville,,US,77.1,78.0,73,0.0,1022.0,2.8,216,10000,06:57 AM,08:48 PM
08-06-25 02:13:06,Nashville,,US,77.1,78.0,73,0.0,1022.0,2.8,216,10000,06:57 AM,08:48 PM
08-06-25 02:13:06,Nashville,,US,77.1,78.0,73,0.0,1022.0,2.8,216,10000,06:57 AM,08:48 PM
08-06-25 02:11:59,St Louis,,US,76.1,77.2,81,0.0,1021.0,3.44,110,10000,07:06 AM,09:07 PM
08-06-25 02:11:59,St Louis,,US,76.1,77.2,81,0.0,1021.0,3.44,110,10000,07:06 AM,09:07 PM
08-06-25 02:11:59,St Louis,,US,76.1,77.2,81,0.0,1021.0,3.44,110,10000,07:06 AM,09:07 PM
08-06-25 02:11:59,St Louis,,US,76.1,77.2,81,0.0,1021.0,3.44,110,10000,07:06 AM,09:07 PM
08-06-25 02:11:25,Tokyo,,JP,36.7,43.7,56,0.0,1003.0,0.45,255,10000,03:52 PM,05:41 AM
08-06-25 02:11:25,Tokyo,,JP,36.7,43.7,56,0.0,1003.0,0.45,255,10000,03:52 PM,05:41 AM
08-06-25 02:11:25,Tokyo,,JP,36.7,43.7,56,0.0,1003.0,0.45,255,10000,03:52 PM,05:41 AM
08-06-25 02:11:25,Tokyo,,JP,36.7,43.7,56,0.0,1003.0,0.45,255,10000,03:52 PM,05:41 AM
08-06-25 02:08:39,Salt Lake City,,US,87.0,83.8,22,0.0,1013.0,3.0,5,10000,08:28 AM,10:38 PM
08-06-25 02:08:38,Tokyo,,JP,36.7,43.7,56,0.0,1003.0,0.45,255,10000,03:52 PM,05:41 AM
08-06-25 02:06:28,St Louis,,US,76.5,77.5,78,0.0,1021.0,3.44,110,10000,07:06 AM,09:07 PM
08-06-25 02:00:07,Knoxville,,US,75.2,76.5,86,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 02:00:07,Knoxville,,US,75.2,76.5,86,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 01:58:53,Austin,,US,89.4,97.8,59,0.0,1017.0,7.0,140,10000,07:52 AM,09:21 PM
08-06-25 01:57:22,Nashville,,US,77.8,78.6,71,0.0,1022.0,2.8,216,10000,06:57 AM,08:48 PM
08-06-25 01:38:08,Austin,,US,90.0,97.9,57,0.0,1017.0,8.05,90,10000,07:52 AM,09:21 PM
08-06-25 01:38:08,Austin,,US,90.0,97.9,57,0.0,1017.0,8.05,90,10000,07:52 AM,09:21 PM
08-06-25 01:37:40,Tokyo,,JP,36.4,43.4,56,0.0,1003.0,1.03,0,10000,03:52 PM,05:41 AM
08-06-25 01:37:40,Tokyo,,JP,36.4,43.4,56,0.0,1003.0,1.03,0,10000,03:52 PM,05:41 AM
08-06-25 01:36:00,Knoxville,,US,75.6,76.8,85,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 01:36:00,Knoxville,,US,75.6,76.8,85,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 01:36:00,Knoxville,,US,75.6,76.8,85,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 01:36:00,Knoxville,,US,75.6,76.8,85,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 01:36:00,Knoxville,,US,75.6,76.8,85,0.0,1022.0,0.0,0,10000,06:46 AM,08:36 PM
08-06-25 01:36:00,Salt Lake City,,US,88.1,84.7,21,0.0,1012.0,5.99,5,10000,08:28 AM,10:38 PM
